,rating_num_weights,rating_average_weight,playing_time,min_age,min_players,max_players,mechanics,categories,families
Too Many Bones,494,3.8543,120,12,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Hand Management', 'Resource to Move', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Square Grid', 'Stat Check Resolution', 'Tech Trees / Tech Tracks', 'Turn Order: Role Order', 'Variable Player Powers']","['Adventure', 'Dice', 'Fantasy', 'Fighting']","['Components: 4 x 4 Grids', 'Components: Dice with Icons', 'Components: PVC Cards', 'Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', 'Game: Too Many Bones', 'Players: Games with Solitaire Rules', 'Theme: Boss Battle']"
Mage Knight Board Game,2704,4.3624,240,14,1,4,"['Card Play Conflict Resolution', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Multi-Use Cards', 'Open Drafting', 'Role Playing', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Components: Clix', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Players: Games with Solitaire Rules', 'Setting: Mage Knight']"
Pandemic Legacy: Season 0,149,3.1544,60,14,2,4,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",['Spies/Secret Agents'],"['Components: Map (Global Scale)', ""Decades: The 1960's"", 'Digital Implementations: Tabletopia', 'Game: Pandemic', 'History: Cold War', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Occupation: Medic / Doctor / Nurses', 'Occupation: Researcher / Scientist', 'Theme: Alternate History', 'Theme: Retro', 'Versions & Editions: Legacy Versions of Non-Legacy Games']"
Sleeping Gods,403,3.2432,1200,13,1,4,"['Action Points', 'Cooperative Game', 'Events', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Nautical']","['Components: Book as Board', 'Components: Map (City Scale)', 'Components: Official Music Soundtrack', 'Crowdfunding: Kickstarter', 'Crowdfunding: Wspieram', ""Decades: The 1920's"", 'Game: Sleeping Gods', 'Mechanism: Campaign Games', 'Misc: Forteller Audio Narration', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules', 'Setting: The Wandering World']"
Pandemic Legacy: Season 2,315,3.2508,60,14,2,4,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Pick-up and Deliver', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']","['Environmental', 'Exploration', 'Medical', 'Science Fiction']","['Components: Map (Global Scale)', 'Game: Pandemic', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Occupation: Medic / Doctor / Nurses', 'Occupation: Researcher / Scientist', 'Theme: Post-Apocalyptic', 'Versions & Editions: Legacy Versions of Non-Legacy Games']"
Mansions of Madness: Second Edition,741,2.6923,180,14,1,5,"['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Map Addition', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Traitor Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fighting', 'Horror', 'Miniatures', 'Murder/Mystery', 'Mythology', 'Puzzle']","['Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Digital Hybrid – App/Website Required', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Game: Mansions of Madness (Second Edition)', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Series: Arkham Horror Files (Fantasy Flight Games)', 'Series: Mansions of Madness', 'Theme: Cthulhu Mythos', 'Theme: Mad Science / Mad Scientist', 'Theme: Spooky Old Houses']"
Cthulhu: Death May Die,356,2.4607,120,14,1,5,"['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Horror', 'Miniatures', 'Novel-based']","['Category: Dized Tutorial', 'Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Miniatures', 'Country: USA', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Cthulhu: Death may Die', 'Players: Games with Solitaire Rules', 'Region: New England (USA)', 'Theme: Boss Battle', 'Theme: Cthulhu Mythos']"
Obsession,444,3.1194,90,14,1,4,"['Action Retrieval', 'Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game', 'Worker Placement', 'Worker Placement, Different Worker Types']",['Post-Napoleonic'],"['Country: England', 'Crowdfunding: Kickstarter', 'Digital Implementations: Board Game Arena', 'Game: Obsession', 'Mechanism: Tableau Building', 'Misc: Made by Panda', 'Players: Games with Solitaire Rules']"
Star Wars: Imperial Assault,920,3.3065,120,14,2,5,"['Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Line of Sight', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Square Grid', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Miniatures', 'Game: Star Wars Imperial Assault', 'Mechanism: Campaign Games', 'Movies: Star Wars', 'Players: Games with Solitaire Rules', 'Players: One versus Many']"
Mechs vs. Minions,320,2.4438,120,14,2,4,"['Action Queue', 'Bias', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Open Drafting', 'Programmed Movement', 'Role Playing', 'Slide/Push', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']","['Components: Game Trayz Inside', 'Components: Miniatures', 'Components: Official Music Soundtrack', 'Components: Sand Timers', 'Mechanism: Campaign Games', 'Misc: Made by Panda', 'Misc: Watch It Played How To Videos']"
Kingdom Death: Monster,602,4.2625,180,17,1,4,"['Cooperative Game', 'Critical Hits and Failures', 'Dice Rolling', 'Grid Movement', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Mature / Adult', 'Miniatures', 'Mythology']","['Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Kingdom Death Monster', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Theme: Boss Battle']"
Oathsworn: Into the Deepwood,207,3.6522,90,14,1,4,"['Action Points', 'Card Play Conflict Resolution', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Pattern Recognition', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Card Game', 'Dice', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures', 'Mythology', 'Puzzle']","['Components: Miniatures', 'Components: Standees', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Theme: Boss Battle']"
Robinson Crusoe: Adventures on the Cursed Island,2246,3.817,120,14,1,4,"['Action Queue', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hexagon Grid', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']","['Adventure', 'Exploration', 'Fighting', 'Novel-based', 'Territory Building']","['Books: Robinson Crusoe', 'Category: Dized Tutorial', 'Components: Dice with Icons', 'Components: Wooden pieces & boards', 'Digital Implementations: Tabletopia', 'Game: Robinson Crusoe – Adventures on the Cursed Island', 'Islands: Fictional', 'Misc: LongPack Games', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules', 'Theme: Colonial', 'Theme: Survival', 'Theme: Tropical Islands']"
Tainted Grail: The Fall of Avalon,476,3.3529,120,14,1,4,"['Area Movement', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Map Addition', 'Modular Board', 'Narrative Choice / Paragraph', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Mature / Adult', 'Medieval', 'Miniatures', 'Mythology', 'Travel']","['Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Tainted Grail', 'Mechanism: Campaign Games', 'Misc: Eastar Game Manufacturing', 'Players: Games with Solitaire Rules', 'Theme: King Arthur / The Knights of the Round Table / Camelot']"
Battlestar Galactica: The Board Game,2208,3.25,180,14,3,6,"['Area Movement', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Once-Per-Game Abilities', 'Role Playing', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Variable Set-up', 'Voting']","['Bluffing', 'Deduction', 'Movies / TV / Radio theme', 'Political', 'Science Fiction', 'Space Exploration', 'Spies/Secret Agents']","['Components: Multi-Use Cards', 'Components: Polyhedral (not D6) dice', 'Components: Standees', 'Digital Implementations: VASSAL', 'TV Shows: Battlestar Galactica']"
Eldritch Horror,1728,3.32,240,14,1,8,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Resource to Move', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Fighting', 'Horror', 'Novel-based', 'Travel']","['Components: Map (Global Scale)', 'Components: Standees', 'Game: Eldritch Horror', 'Players: Games with Solitaire Rules', 'Series: Arkham Horror Files (Fantasy Flight Games)', 'Theme: Cthulhu Mythos']"
The 7th Continent,620,2.9,1000,14,1,4,"['Area Movement', 'Cooperative Game', 'Hand Management', 'Map Addition', 'Modular Board', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Card Game', 'Exploration', 'Science Fiction']","['Components: Map (Continental / National scale)', 'Components: Miniatures', 'Components: Official Music Soundtrack', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Players: Games with Solitaire Rules', 'Series: The 7th Continent']"
The Lord of the Rings: Journeys in Middle-Earth,473,2.6596,120,14,1,5,"['Campaign / Battle Card Driven', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Map Addition', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based']","['Authors: J.R.R. Tolkien', 'Category: Dungeon Crawler', 'Components: Digital Hybrid – App/Website Required', 'Components: Miniatures', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules']"
Twilight Imperium: Third Edition,2085,4.258,240,14,3,6,"['Action Points', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'Modular Board', 'Player Elimination', 'Tile Placement', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Voting']","['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Components: Hexagonal Tiles', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Game: Twilight Imperium', 'Mechanism: 4X', 'Misc: Made by Panda', 'Series: Fantasy Flight Big Box']"
Final Girl,157,2.6943,60,14,1,1,"['Dice Rolling', 'Hand Management', 'Pick-up and Deliver', 'Solo / Solitaire Game', 'Variable Player Powers']","['Card Game', 'Horror']","['Crowdfunding: Kickstarter', 'Game: Final Girl', 'Misc: LongPack Games', 'Movies: Horror Movies', 'Players: Solitaire Only Card Games', 'Players: Solitaire Only Games']"
Sky Team,152,2.0132,15,12,2,2,"['Communication Limits', 'Cooperative Game', 'Dice Rolling', 'Worker Placement with Dice Workers']",['Aviation / Flight'],"['Digital Implementations: Board Game Arena', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Players: Two-Player Only Games']"
Nemesis: Lockdown,207,3.8889,180,12,1,5,"['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hidden Roles', 'Interrupts', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Traitor Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Horror', 'Miniatures', 'Science Fiction']","['Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Kickstarter', 'Digital Implementations: Steam', 'Game: Nemesis', 'Misc: Eastar Game Manufacturing', 'Players: Games with Solitaire Rules', 'Space: Mars', 'Theme: Survival']"
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,665,2.6647,120,13,1,8,"['Cooperative Game', 'Deduction', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Storytelling']","['Deduction', 'Murder/Mystery', 'Novel-based', 'Post-Napoleonic', 'Spies/Secret Agents']","['Books: Mystery Novels', 'Books: Sherlock Holmes', 'Cities: London (England, UK)', 'Country: England', 'Game: Sherlock Holmes Consulting Detective', 'Misc: Limited Replayability', 'Players: Games with Solitaire Rules']"
Legendary Encounters: An Alien Deck Building Game,484,2.6983,60,17,1,5,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Events', 'Hidden Roles', 'Open Drafting', 'Player Elimination', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']","['Card Game', 'Fighting', 'Horror', 'Movies / TV / Radio theme', 'Science Fiction']","['Category: Tower Defense', 'Creatures: Aliens / Extraterrestrials', 'Game: Legendary (Upper Deck Entertainment)', 'Movies: Alien / Aliens', 'Movies: Horror Movies', 'Players: Games with Solitaire Rules']"
Xia: Legends of a Drift System,371,3.1806,180,12,3,5,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Pick-up and Deliver', 'Race', 'Roll / Spin and Move', 'Tile Placement', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fighting', 'Science Fiction', 'Space Exploration', 'Transportation']","['Components: Gems/Crystals', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Components: Polyominoes', 'Crowdfunding: Kickstarter', 'Crowdfunding: Verkami', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Misc: Made by Panda', 'Players: Games with expansions that add solo play']"
Too Many Bones: Undertow,125,4.016,180,12,1,2,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Die Icon Resolution', 'Minimap Resolution', 'Role Playing', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Tech Trees / Tech Tracks', 'Turn Order: Role Order', 'Variable Player Powers']","['Adventure', 'Dice', 'Fantasy', 'Fighting']","['Components: Dice with Icons', 'Components: PVC Cards', 'Crowdfunding: Kickstarter', 'Game: Too Many Bones', 'Players: Games with Solitaire Rules']"
Chaos in the Old World,930,3.1989,120,13,3,4,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Events', 'Hand Management', 'Role Playing', 'Take That', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Horror', 'Mythology', 'Wargame']","['Components: Control Boards', 'Components: Miniatures', 'Digital Implementations: VASSAL', 'Setting: Warhammer Fantasy Board Games', 'Theme: Villainy']"
War of the Ring,1418,3.8456,120,12,2,4,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management']","['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame']","['Authors: J.R.R. Tolkien', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Series: War of the Ring (Nexus/Ares Games)']"
This War of Mine: The Board Game,462,3.3095,120,18,1,6,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Events', 'Grid Movement', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simulation', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers', 'Worker Placement']","['Adventure', 'Exploration', 'Mature / Adult', 'Modern Warfare', 'Video Game Theme']","['Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: This War of Mine (Awaken Realms)', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Theme: Survival']"
Descent: Journeys in the Dark (Second Edition),1162,3.2126,120,14,1,5,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Line of Sight', 'Map Addition', 'Modular Board', 'Movement Points', 'Multiple Maps', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Creatures: Monsters', 'Game: Descent – Journeys in the Dark', 'Mechanism: Campaign Games', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules', 'Players: One versus Many', 'Setting: The Realms of Terrinoth']"
Dune,25,2.16,90,10,2,4,"['Betting and Bluffing', 'Dice Rolling', 'Player Elimination', 'Roll / Spin and Move', 'Take That']","['Movies / TV / Radio theme', 'Novel-based', 'Science Fiction']",['Books: Dune']
Welcome to the Moon,141,2.5035,30,10,1,6,"['Bingo', 'Narrative Choice / Paragraph', 'Paper-and-Pencil', 'Pattern Building', 'Race', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game']","['City Building', 'Science Fiction']","['Components: Dry Erase Markers / Dry Erase Surfaces', 'Mechanism: Campaign Games', 'Mechanism: Flip-and-Write', 'Players: Games with Solitaire Rules', 'Series: Alexis Solo Mode', 'Series: Welcome To ...', ""Space: Earth's Moon""]"
Cosmic Encounter,89,2.3034,60,12,2,4,['Variable Player Powers'],"['Bluffing', 'Card Game', 'Science Fiction']",['Game: Cosmic Encounter']
Horrified,372,2.0349,60,10,1,5,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Pick-up and Deliver', 'Point to Point Movement', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']","['Horror', 'Miniatures', 'Movies / TV / Radio theme']","['Admin: Better Description Needed!', 'Books: Dracula', 'Books: The Invisible Man', 'Characters: Frankenstein', 'Components: Miniatures', 'Components: Standees', 'Creatures: Monsters', 'Creatures: Mummies', 'Creatures: Werewolves', 'Misc: Watch It Played How To Videos', 'Movies: Horror Movies', 'Movies: Universal Studios Monsters', 'Players: Games with Solitaire Rules', 'Series: Horrified', 'Theme: Retro']"
